"restaurant","address"
"상춘재","제주특별자치도 제주시 조천읍 선진길 26"
"남양수산","제주특별자치도 서귀포시 성산읍 고성동서로56번길 11"
"선흘곶","제주특별자치도 제주시 조천읍 동백로 102"
"미영이네식당","제주특별자치도 서귀포시 대정읍 하모항구로 42"
"스시호시카이","제주특별자치도 제주시 오남로 90"
"밀리우","제주특별자치도 서귀포시 표선면 민속해안로 537"
"숙성도","제주특별자치도 제주시 원노형로 41"
"곰막","제주특별자치도 제주시 구좌읍 구좌해안로 64"
"중문수두리보말칼국수","제주특별자치도 서귀포시 천제연로 190"
"오드랑베이커리","제주특별자치도 제주시 조천읍 조함해안로 552-3"
"우진해장국","제주특별자치도 제주시 서사로 11"
"카페태희","제주특별자치도 제주시 애월읍 곽지3길 27"
"맛나식당","제주특별자치도 서귀포시 성산읍 동류암로 41"
"진아떡집","제주특별자치도 제주시 동문로4길 7-1"
"닻","제주특별자치도 제주시 애월읍 가문동길 41-2"
"민경이네어등포해녀촌","제주특별자치도 제주시 구좌읍 행원로13길 131"
"엄마손횟집","제주특별자치도 제주시 연동3길 35"
"더스푼","제주특별자치도 제주시 구남동1길 45"
"명진전복","제주특별자치도 제주시 구좌읍 해맞이해안로 1282"
"피어22","제주특별자치도 제주시 한림읍 금능7길 22 금능어촌계복지회관 잠녀의집"
"국수만찬","제주특별자치도 제주시 은남3길 1"
"만선식당","제주특별자치도 서귀포시 대정읍 하모항구로 44"
"칠돈가","제주특별자치도 제주시 서천길 1"
"천짓골식당","제주특별자치도 서귀포시 중앙로41번길 4"
"일통이반","제주특별자치도 제주시 중앙로2길 25"
"연동마라도","제주특별자치도 제주시 신광로8길 3"
"해심가든 ","제주특별자치도 서귀포시 천제연로 203-4"
"섭지코지로","제주특별자치도 서귀포시 성산읍 시흥하동로57"
"어우늘","제주특별자치도 제주시 연북로 222"
"광명식당","제주특별자치도 제주시 동문로4길 9"
"마마롱","제주특별자치도 제주시 애월읍 평화로 2783"
"88돼지","제주특별자치도 제주시 제원길 7"
"춘심이네","제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16"
"바그다드","제주특별자치도 제주시 서광로32길 38"
"포도호텔레스토랑","제주특별자치도 서귀포시 안덕면 산록남로 863"
"그리운바다성산포","제주특별자치도 서귀포시 성산읍 성산등용로 94"
"경일낙지","제주특별자치도 제주시 다랑곶길 30"
"미남미녀","제주특별자치도 서귀포시 색달중앙로55번길 22"
"알동네집","제주특별자치도 제주시 한경면 연명로 545"
"제주맥주","제주특별자치도 제주시 한림읍 금능농공길 62-11"
"올래국수","제주특별자치도 제주시 귀아랑길 24"
"뽈살집(본점)","제주특별자치도 서귀포시 중정로91번길 37"
"은희네해장국","제주특별자치도 제주시 고마로13길 8"
"더꽃돈","제주특별자치도 제주시 한림읍 한림로 328"
"고로케야 (휴업중)","제주특별자치도 제주시 가령골2길 13-20"
"무거버거","제주특별자치도 제주시 조천읍 조함해안로 356"
"뽈살집","제주특별자치도 제주시 한림읍 한림상로 194"
"톰톰카레","제주특별자치도 제주시 구좌읍 평대2길 39-28"
"남춘식당","제주특별자치도 제주시 청귤로 12"
"섬오름해물라면","제주특별자치도 제주시 조천읍 조함해안로 355-7"
"골막식당","제주특별자치도 제주시 천수로 12"
"시골길","제주특별자치도 제주시 연동13길 9"
"맥파이 브루어리","제주특별자치도 제주시 동회천1길 23"
"시스터필드","제주특별자치도 서귀포시 월드컵로 8"
"만세국수","제주특별자치도 제주시 오라로 156"
"해월정","제주특별자치도 제주시 구좌읍 해맞이해안로 2284"
"호자","제주특별자치도 제주시 구좌읍 세화8길 7 1F"
"고등어쌈밥","제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5"
"버터모닝","제주특별자치도 제주시 애월읍 하광로 279"
"네거리식당","제주특별자치도 서귀포시 서문로29번길 20"
"안거리밖거리","제주특별자치도 서귀포시 솔동산로 6-1"
"그린정","제주특별자치도 서귀포시 중문관광로 305"
