"V1","V2","V3","V4","V5","V6","V7","V8","V9"
50090.0117233292,57769.5109275949,32703.9660888,234.481968979076,37704.6706224899,69199.0106909124,42187.0052218976,52829.6107051101,65833.0758716
49970.7537785792,57624.2300690212,32500.8582827656,112.264383819201,37531.8142813168,69108.402752863,42016.4557690014,52674.0259759049,65718.6670379247
54628.8635047074,61613.0610619421,34320.3117607499,6189.28133640721,40748.7934339242,74277.9404829022,45279.3635610216,56377.7135292153,70439.7362348679
32151.6262422464,41927.261732367,29456.7845587988,22266.5003359545,27555.3825815195,48816.7015071136,30950.5216844789,38466.2221089942,46967.5264884758
36110.9810788116,44891.3840995531,26569.3111240558,15276.9021265324,27412.7891122601,54348.1327540474,31453.8680032751,40646.577609617,51581.564117206
26597.2722545055,37014.5175445946,30688.5715956718,29500.7263083757,26214.9444440586,41895.510147681,28755.2918006637,34347.8065702826,40648.7477471836
35181.5026869217,43912.5841779897,25718.3862738014,15937.9540593075,26423.3840452186,53531.343348492,30455.6158171488,39650.9532853184,50682.8270549483
25214.5971608761,35505.04824362,29036.2558153841,29489.6659931061,24421.517457317,41118.541728544,26965.1398034426,32706.0268820895,39545.2039789271
52227.2766833942,59691.8150062834,33791.0823496388,2414.67752439734,39327.2963220863,71502.3139149747,43835.7769842989,54649.4147999593,67999.9155572431
66977.5159735323,16678.8078640073,64459.4668302557,39907.9365937081,41759.9438809032,37031.3093891073,19635.6423765309,41533.4274401102,67515.9568984316
66891.1490480122,16627.5315693053,64329.0779373339,39731.5007381886,41585.5713067064,36850.3942540525,19414.1308995254,41363.788696016,67430.5368463071
72134.7409568735,22482.7074388192,68689.1327906644,42790.2861195441,44708.611337112,39755.9422942372,18768.4174718422,44664.9396328073,72688.9023751718
46409.1542161785,6234.91443470186,46904.7740310368,29943.2991755587,31176.2342764236,28338.6238973577,29111.5467106612,30253.1624624581,46896.1664533896
52055.943328771,1475.58201385791,50801.1925728204,29826.7185340563,31388.9337666865,27581.309392494,22629.1090418585,30750.8896845201,52578.3427843333
39434.6847553392,12967.1121413763,41130.7956847476,28418.9070996931,29255.1917029295,27550.865199432,34073.5704143315,28103.0243123208,39901.0481048616
51253.8210091002,993.895915291385,49858.1444344925,28838.5182343421,30394.968798036,26609.420726159,22340.5600288056,29752.464143309,51780.1151268902
38697.7247223073,12785.4979004383,39835.7999231898,26622.8206972674,27460.4821589732,25770.0504097372,33030.3963640714,26311.4979063666,39180.8912010411
69301.3111182481,19133.1545705576,66510.0252187575,41478.2961396254,43357.497575288,38538.7365438784,19665.3831653758,43194.6658622639,69844.0864846709
54214.515053038,53292.544547324,37260.5287742342,29143.0299063161,31509.0213075415,15801.6670579288,41759.5237842731,37819.1448969717,31844.5704521158
54081.8119051517,53141.9059605333,37081.8888159749,29116.3192650444,31324.770576498,15734.0674597898,41589.5698004351,37641.7407638177,31652.9044961942
58414.4942547364,56993.5238368182,40078.6290375007,35130.0403138412,34158.7771964932,21434.5309818312,44877.5204476248,40682.2919794472,34136.8158443217
37278.6337138761,38306.452280573,28136.2500755052,7037.94046455358,24727.7198437758,7684.76789783682,30493.948298082,28381.8761587613,26351.5002611204
40750.2453150421,40789.9499019325,27559.1561010137,14100.9970241111,22914.4436951601,1480.36317245737,30993.9141725068,27956.8505905519,24122.7875572709
32021.8189394212,33912.4904913769,27184.5970522,318.048728987473,25253.3938642557,14193.4271554835,28327.7263880136,27263.0454401936,27147.4692278631
39792.4277168844,39800.0162444333,26581.3683892475,13654.3460642812,21981.1953172496,636.44457247795,29995.545838039,26974.9928158174,23217.2414986754
30576.9165168989,32308.7436399692,25399.0183915017,1969.916586201,23555.777195822,13882.0548675706,26536.6682621863,25473.1124379282,25466.0902099798
56249.0443416514,55163.9079826572,38801.9377404843,31642.1277610763,32972.6988414558,18210.5741630123,43416.4644074743,39377.9571384754,33178.9924534487
221.676699210705,41248.7909101507,40938.6352067701,41850.3977722616,37569.2582653101,11279.7782148198,52701.8383733328,46650.5567595827,28960.0482363499
113.003134102198,41072.5574281161,40771.9896892789,41673.4539729165,37390.423319615,11060.0729394366,52546.3289144158,46499.092788197,28932.9385968356
6194.16402578473,44127.4637614954,44183.8115798302,44695.1082630684,40376.0185668084,12315.2990661517,56252.9343182941,50358.2699194194,34943.9393993204
22265.5797945851,31038.8247371447,29302.1828917669,31665.5471949238,28417.8206433618,22543.9591311285,38338.2727497471,32290.3880985997,6863.04602468597
