title,가고싶다,평점,감성점수,맛있다,가격,웨이팅,서비스,분위기,표준화_감성점수,맛있다,가격,웨이팅,서비스,분위기,가고싶다,평점,감성*맛+0.5*평점+0.5*가고싶다수,가격,웨이팅,서비스,분위기
상춘재,6507,4.6,1,0.9231,0,0,1.6485,1.7514,0.23,-0.74,-0.58,-0.6,0.12,0.47,1.6,0.23,0.7448,0.7816,0.777,0.9426,1.0231
상춘재,6507,4.6,2,2.7179,0,0,1.7181,0,1.48,-0.18,-0.58,-0.6,0.15,-0.67,1.6,1.48,1.2736,0.6816,0.652,1.762,0.5484
상춘재,6507,4.6,0.65,5.1548,0.8863,1.7189,2.4632,4.2902,-0.2,0.59,0.3,0.26,0.53,2.13,1.6,-0.2,0.582,0.64,0.648,0.594,0.274
상춘재,6507,4.6,1.4,6.4212,0,0.932,1.6818,0.8895,0.73,0.98,-0.58,-0.14,0.13,-0.09,1.6,0.73,1.8804,0.7416,1.0628,1.2599,1.0993
상춘재,6507,4.6,-0.5,1.7311,0,0.8139,0.8532,1.7356,-1.63,-0.49,-0.58,-0.2,-0.29,0.46,1.6,-1.63,0.7837,0.9304,0.311,0.4577,-0.7648
상춘재,6507,4.6,1.57,4.5814,0,0,1.6921,0,0.94,0.41,-0.58,-0.6,0.14,-0.67,1.6,0.94,1.6554,0.7248,0.706,1.4016,0.6402
상춘재,6507,4.6,1.08,9.0692,0.8056,8.239,2.4857,2.6422,0.33,1.82,0.22,3.51,0.54,1.06,1.6,0.33,1.5656,1.0376,2.1233,1.1432,1.3148
상춘재,6507,4.6,1.57,4.5056,0,2.867,2.5267,0,0.94,0.38,-0.58,0.83,0.56,-0.67,1.6,0.94,1.6272,0.7248,2.0502,1.7964,0.6402
상춘재,6507,4.6,1.6,14.5064,0.8203,7.3762,7.5965,8.0988,0.98,3.52,0.23,3.08,3.12,4.63,1.6,0.98,4.7396,1.5154,4.3084,4.3476,5.8274
상춘재,6507,4.6,0.87,6.2237,2.7398,0.9501,5.8784,2.5572,0.07,0.92,2.12,-0.13,2.26,1,1.6,0.07,0.8994,0.9834,0.8259,0.9932,0.905
