restaurant,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9
상춘재,50090.01172,49970.75378,54628.8635,32151.62624,36110.98108,26597.27225,35181.50269,25214.59716,52227.27668
남양수산,66977.51597,66891.14905,72134.74096,46409.15422,52055.94333,39434.68476,51253.82101,38697.72472,69301.31112
선흘곶,54214.51505,54081.81191,58414.49425,37278.63371,40750.24532,32021.81894,39792.42772,30576.91652,56249.04434
미영이네식당,221.6766992,113.0031341,6194.164026,22265.57979,15277.8609,29500.43366,15939.57018,29490.20673,2415.519927
스시호시카이,39038.52513,38867.32881,42133.10214,28390.62543,28517.71902,26724.34939,27523.7201,24927.95777,40681.85781
밀리우,56541.02347,56494.92624,62293.52026,34651.95635,41330.47346,27326.00143,40702.37313,27134.61531,59004.42782
숙성도,36943.65832,36764.59,39747.32335,27954.06979,27307.69702,27083.56571,26331.81143,25300.56145,38479.12047
곰막,57769.51093,57624.23007,61613.06106,41927.26173,44891.3841,37014.51754,43912.58418,35505.04824,59691.81501
중문수두리보말칼국수,16678.80786,16627.53157,22482.70744,6234.914435,1475.582014,12967.11214,993.8959153,12785.4979,19133.15457
오드랑베이커리,53292.54455,53141.90596,56993.52384,38306.45228,40789.9499,33912.49049,39800.01624,32308.74364,55163.90798
우진해장국,41248.79091,41072.55743,44127.46376,31038.82474,31077.48394,29297.12211,30086.68432,27500.94908,42820.63472
카페태희,26364.44965,26146.63841,26757.25293,29467.38283,24509.53345,32758.48124,23895.93751,31372.59781,26951.94371
맛나식당,67069.96629,66984.33062,72239.76512,46465.31403,52136.37126,39477.69154,51337.08796,38751.32207,69397.1385
진아떡집,41797.89385,41623.48399,44744.77795,31214.51771,31428.51609,29290.08174,30434.54755,27495.42427,43394.89272
닻,32703.96609,32500.85828,34320.31176,29456.78456,26569.31112,30688.5716,25718.38627,29036.25582,33791.08235
민경이네어등포해녀촌,64459.46683,64329.07794,68689.13279,46904.77403,50801.19257,41130.79568,49858.14443,39835.79992,66510.02522
엄마손횟집,37260.52877,37081.88882,40078.62904,28136.25008,27559.1561,27184.59705,26581.36839,25399.01839,38801.93774
더스푼,40938.63521,40771.98969,44183.81158,29302.18289,29930.50543,27079.72583,28930.46447,25289.10957,42638.33531
명진전복,65825.50986,65706.96949,70338.93326,47265.72781,51709.66489,41068.13741,50798.8576,39916.55465,67964.29168
피어22,19411.30236,19190.87803,18180.04679,29834.47899,23219.74184,34941.45376,22973.90326,33932.07472,19293.84247
국수만찬,37712.0299,37535.23467,40600.99987,28194.74779,27796.37583,27062.4132,26813.62935,25272.33503,39279.76258
만선식당,234.481969,112.2643838,6189.281336,22266.50034,15276.90213,29500.72631,15937.95406,29489.66599,2414.677524
칠돈가,39907.93659,39731.50074,42790.28612,29943.29918,29826.71853,28418.9071,28838.51823,26622.8207,41478.29614
천짓골식당,29143.02991,29116.31927,35130.04031,7037.940465,14100.99702,318.048729,13654.34606,1969.916586,31642.12776
일통이반,41850.39777,41673.45397,44695.10826,31665.54719,31717.15906,29876.62801,30726.45564,28080.82159,43411.42489
연동마라도,37348.45251,37170.14422,40179.35195,28151.52135,27607.55863,27166.08294,26628.81234,25379.57056,38894.64179
